,Wake,Light,Deep,REM
815,0,0,0,0
816,0,0,0,0
817,0,0,0,0
818,0,0,0,0
819,0,0,0,0
820,0,0,0,0
821,0,0,0,0
822,0,0,0,0
823,0,0,0,0
824,0,0,0,0
825,0,0,0,0
826,0,0,0,0
827,0,0,0,0
828,0,0,0,0
829,0,0,0,0
830,0,0,0,0
831,0,0,0,0
832,0,0,0,0
833,0,0,0,0
834,0,0,0,0
835,0,0,0,0
836,0,0,0,0
837,0,0,0,0
838,0,0,0,0
839,0,0,0,0
840,0,0,0,0
841,0,0,0,0
842,0,0,0,0
843,0,0,0,0
844,0,0,0,0
845,0,0,0,0
846,0,0,0,0
847,0,0,0,0
848,0,0,0,0
849,0,0,0,0
850,0,0,0,0
851,0,0,0,0
852,0,0,0,0
853,0,0,0,0
854,0,0,0,0
855,0,0,0,0
856,0,0,0,0
857,0,0,0,0
858,0,0,0,0
859,0,0,0,0
860,0,0,0,0
861,0,0,0,0
862,0,0,0,0
863,0,0,0,0
864,0,0,0,0
865,0,0,0,0
866,0,0,0,0
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
871,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
875,0,0,0,0
876,0,0,0,0
877,0,0,0,0
878,0,0,0,0
879,0,0,0,0
880,0,0,0,0
881,0,0,0,0
882,0,0,0,0
883,0,0,0,0
884,0,0,0,0
885,0,0,0,0
886,0,0,0,0
887,0,0,0,0
888,0,0,0,0
889,0,0,0,0
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
894,0,0,0,0
895,0,0,0,0
896,0,0,0,0
897,0,0,0,0
898,0,0,0,0
899,0,0,0,0
900,0,0,0,0
901,0,0,0,0
902,0,0,0,0
903,0,0,0,0
904,0,0,0,0
905,0,0,0,0
906,0,0,0,0
907,0,0,0,0
908,0,0,0,0
909,0,0,0,0
910,0,0,0,0
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
914,0,0,0,0
915,0,0,0,0
916,0,0,0,0
917,0,0,0,0
918,0,0,0,0
919,0,0,0,0
920,0,0,0,0
921,0,0,0,0
922,0,0,0,0
923,0,0,0,0
924,0,0,0,0
925,0,0,0,0
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
929,0,0,0,0
930,0,0,0,0
931,0,0,0,0
932,0,0,0,0
933,0,0,0,0
934,0,0,0,0
935,0,0,0,0
936,0,0,0,0
937,0,0,0,0
938,0,0,0,0
939,0,0,0,0
940,0,0,0,0
941,0,0,0,0
942,0,0,0,0
943,0,0,0,0
944,0,0,0,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,0,0,0,0
949,0,0,0,0
950,0,0,0,0
951,55,293,47,66
952,60,222,77,82
953,77,319,117,139
954,45,294,53,100
955,42,235,51,88
956,54,242,75,103
957,61,205,58,73
958,52,255,69,112
959,59,199,69,95
960,71,309,101,123
961,71,311,84,80
962,60,261,48,41
963,60,290,72,99
964,49,201,47,92
965,59,219,120,124
966,43,218,53,84
967,75,270,66,121
968,57,282,82,105
969,61,209,49,83
970,77,341,76,88
971,45,238,60,87
972,74,355,63,148
973,54,195,68,68
974,61,327,75,133
975,69,272,71,109
976,88,317,84,125
977,56,293,102,147
978,58,331,106,131
979,62,244,84,110
980,67,369,134,122
981,93,360,103,87
982,52,324,34,105
983,56,228,62,73
984,60,252,92,109
985,32,225,68,75
986,77,366,88,130
987,39,185,54,87
988,47,237,60,74
989,59,330,85,93
990,54,253,70,58
991,43,209,40,93
992,33,197,58,116
993,49,309,77,114
994,34,272,49,122
995,48,225,50,130
996,50,256,60,103
997,45,228,80,94
998,99,320,93,70
999,93,346,63,111
1000,72,383,65,121
1001,72,369,91,104
1002,56,230,60,97
1003,60,297,65,94
1004,35,220,51,82
1005,64,241,103,113
1006,39,235,43,119
1007,76,330,88,162
1008,59,367,93,103
1009,50,217,69,87
1010,51,260,62,102
1011,47,244,80,91
1012,55,293,47,66
1013,47,270,83,74
1014,38,216,82,107
1015,49,239,102,132
1016,42,188,56,94
1017,61,220,109,111
1018,41,251,76,108
1019,44,281,53,104
1020,94,290,119,127
1021,62,244,54,123
